district,taluka,village,giscode,xmin,ymin,xmax,ymax
14,16,271400160189940000,RVM1416271400160189940000,79.10476923952649,19.868431044229816,79.14185756564993,19.888972109964378
14,16,271400160189590000,RVM1416271400160189590000,78.79798790237352,19.915981865006724,78.86464492323287,19.951235069075857
14,16,271400160188950000,RVM1416271400160188950000,78.97939458877421,20.08874314208163,79.00664764087743,20.127241249633858
14,16,271400160189390000,RVM1416271400160189390000,79.04932547887539,19.897386328126213,79.09135305051936,19.931463041477976
14,16,271400160189640000,RVM1416271400160189640000,78.87434416331396,19.930476128234346,78.92112970212044,19.992768356964028
14,16,271400160190330000,RVM1416271400160190330000,79.00608142068832,19.94706705094619,79.03331523980029,19.968686651393188
14,16,271400160188720000,RVM1416271400160188720000,78.895106031201,20.123468509125964,78.91372234299692,20.144140146453566
14,16,271400160189550000,RVM1416271400160189550000,78.77216212453793,19.951800875759503,78.79907431965611,19.976762618182857
14,16,271400160188840000,RVM1416271400160188840000,78.85150995940403,20.069268429963593,78.88327020831281,20.089932119617128
14,16,271400160190090000,RVM1416271400160190090000,78.87219605642635,19.835315195382247,78.90783282545353,19.862963855404555
