district_code,district_name
26,Ahmednagar
05,Akola
07,Amravati
19,Aurangabad
10,Bhandara
27,Bid
04,Buldhana
13,Chandrapur
02,Dhule
12,Gadchiroli
11,Gondiya
16,Hingoli
03,Jalgaon
18,Jalna
34,Kolhapur
28,Latur
23,Mumbai City
22,Mumbai Sub-Urban
15,Nanded
01,Nandurbar
09,Nangpur
20,Nashik
36,Palghar
17,Parbhani
25,Pune
24,Raigad
32,Ratnagiri
35,Sangli
31,Satara
33,Sindhudurg
30,Solapur
21,Thane
29,Usmanabad
08,Wardha
06,Washim
14,Yawatmal
