district_code,district_name,taluka_code,taluka_name,village_code,village_name_marathi,village_name_english,gis_code,xmin,ymin,xmax,ymax
24,Raigad,01,Raigad CTSO,000000000000002406,Alibagh,Alibagh,,,,,
24,Raigad,01,Raigad CTSO,000000000000002403,Karjat,Karjat,,,,,
24,Raigad,01,Raigad CTSO,000000000000002414,Mahad,Mahad,,,,,
24,Raigad,01,Raigad CTSO,000000000000002407,Murud,Murud,,,,,
24,Raigad,01,Raigad CTSO,000000000000002402,Panwel,Panwel,,,,,
24,Raigad,01,Raigad CTSO,000000000000002405,Pen,Pen,,,,,
24,Raigad,01,Raigad CTSO,000000000000002408,Roha,Roha,,,,,
24,Raigad,01,Raigad CTSO,000000000000002401,Uran,Uran,,,,,
32,Ratnagiri,01,Ratnagiri CTSO,000000000000003204,Chiplun,Chiplun,,,,,
32,Ratnagiri,01,Ratnagiri CTSO,000000000000003202,Dapoli,Dapoli,,,,,
32,Ratnagiri,01,Ratnagiri CTSO,000000000000003203,khed,khed,,,,,
32,Ratnagiri,01,Ratnagiri CTSO,000000000000003206,Ratnagiri,Ratnagiri,,,,,
35,Sangli,11,CTSO Sangli,000000000000006100,Extension,Extension,,,,,
35,Sangli,11,CTSO Sangli,000000000000012100,Kupwad,Kupwad,,,,,
35,Sangli,11,CTSO Sangli,000000000000014100,Miraj,Miraj,,,,,
35,Sangli,11,CTSO Sangli,000000000000002100,Sangliwadi,Sangliwadi,,,,,
35,Sangli,01,Sangli CTSO,000000000000003505,Atpadi,Atpadi,,,,,
35,Sangli,01,Sangli CTSO,000000000000003504,Khanapur,Khanapur,,,,,
35,Sangli,01,Sangli CTSO,000000000000003507,Miraj,Miraj,,,,,
35,Sangli,01,Sangli CTSO,000000000000003506,Tasgaon,Tasgaon,,,,,
31,Satara,07,koregaon,000000000000008100,Rahimatpur,Rahimatpur,,,,,
31,Satara,05,Man,000000000000002100,Mhasawad,Mhasawad,,,,,
31,Satara,01,Satara CTSO,000000000000003111,Karad,Karad,,,,,
31,Satara,01,Satara CTSO,000000000000003101,Mahableshwar,Mahableshwar,,,,,
31,Satara,01,Satara CTSO,000000000000002100,Pachgani T P No 1,Pachgani T P No 1,,,,,
31,Satara,01,Satara CTSO,000000000000003104,Phaltan,Phaltan,,,,,
31,Satara,01,Satara CTSO,000000000000003108,Satara,Satara,,,,,
31,Satara,01,Satara CTSO,000000000000003102,Wai,Wai,,,,,
33,Sindhudurg,04,Malvan,000000000000001100,Malwan,Malwan,,,,,
33,Sindhudurg,07,Sawantwadi,000000000000001100,Sawantwadi city,Sawantwadi city,,,,,
30,Solapur,11,Devali,000000000000002100,Dudhani,Dudhani,,,,,
30,Solapur,02,Madha,000000000000017100,Kurduwadi,Kurduwadi,,,,,
30,Solapur,01,Solapur CTSO,000000000000003011,Akkalkat,Akkalkat,,,,,
30,Solapur,01,Solapur CTSO,000000000000003003,Barshi,Barshi,,,,,
30,Solapur,01,Solapur CTSO,000000000000003001,Karmala,Karmala,,,,,
30,Solapur,01,Solapur CTSO,000000000000003009,Mangalwedhe,Mangalwedhe,,,,,
30,Solapur,01,Solapur CTSO,000000000000003006,Pandharpur,Pandharpur,,,,,
21,Thane,01,Thane CTSO,000000000000002110,Bhiwandi,Bhiwandi,,,,,
29,Usmanabad,01,Usmanabad CTSO,000000000000002904,Kalamb,Kalamb,,,,,
29,Usmanabad,01,Usmanabad CTSO,000000000000002906,Tuljapur,Tuljapur,,,,,
29,Usmanabad,01,Usmanabad CTSO,000000000000002905,Usmanabad,Usmanabad,,,,,
08,Wardha,06,Devali,000000000000002100,Pulgaun,Pulgaun,,,,,
08,Wardha,01,Wardha CTSO,000000000000000803,Aarvi,Aarvi,,,,,
08,Wardha,01,Wardha CTSO,000000000000000806,Deoli,Deoli,,,,,
08,Wardha,01,Wardha CTSO,000000000000000807,Hingaghat,Hingaghat,,,,,
08,Wardha,01,Wardha CTSO,000000000000000805,Wardha,Wardha,,,,,
06,Washim,01,Washim CTSO,000000000000000607,Karanja,Karanja,,,,,
06,Washim,01,Washim CTSO,000000000000000605,Washim,Washim,,,,,
14,Yawatmal,12,Kelapur,000000000000001201,Pandharkarwadha-TP1,Pandharkarwadha-TP1,,,,,
14,Yawatmal,01,Yawatmal CTSO,000000000000001410,Aarni,Aarni,,,,,
14,Yawatmal,01,Yawatmal CTSO,000000000000001406,Digras,Digras,,,,,
14,Yawatmal,01,Yawatmal CTSO,000000000000001407,Pusad,Pusad,,,,,
14,Yawatmal,01,Yawatmal CTSO,000000000000001416,Wani,Wani,,,,,
14,Yawatmal,01,Yawatmal CTSO,000000000000001404,Yawatmal,Yawatmal,,,,,
